epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,12099.7,0.80245,0.50234,1.11591,0.9159,0.91204,0.94927,0.75514,0.68513,0.3616,1.02697,0.002575,0.002575,0.002575
77,12252.7,0.79081,0.49898,1.10858,0.92474,0.90791,0.94955,0.75468,0.68283,0.35593,1.02754,0.002476,0.002476,0.002476
78,12404.9,0.79205,0.4924,1.10666,0.92177,0.91579,0.94927,0.75515,0.68289,0.35325,1.02895,0.002377,0.002377,0.002377
79,12556.6,0.78788,0.48947,1.10263,0.92098,0.90233,0.94462,0.75328,0.68521,0.35817,1.02994,0.002278,0.002278,0.002278
80,12709,0.78435,0.48551,1.10248,0.91652,0.90791,0.94597,0.75357,0.68374,0.35927,1.02719,0.002179,0.002179,0.002179
81,12861.3,0.78105,0.48195,1.09712,0.90516,0.89934,0.94458,0.74934,0.6864,0.35977,1.02916,0.00208,0.00208,0.00208
82,13013.5,0.7678,0.47621,1.09515,0.92209,0.90052,0.94348,0.75416,0.68116,0.36109,1.02862,0.001981,0.001981,0.001981
83,13165.4,0.75713,0.46839,1.09098,0.91656,0.904,0.94678,0.75589,0.67754,0.35718,1.02512,0.001882,0.001882,0.001882
84,13304.2,0.75395,0.46724,1.0911,0.91402,0.91194,0.94789,0.75487,0.67115,0.35694,1.02379,0.001783,0.001783,0.001783
85,13442,0.7497,0.46422,1.08942,0.91589,0.91191,0.94919,0.75463,0.66901,0.35658,1.02719,0.001684,0.001684,0.001684
86,13584.9,0.74076,0.45668,1.086,0.91486,0.92008,0.9503,0.75644,0.67154,0.35143,1.03076,0.001585,0.001585,0.001585
87,13728.6,0.73985,0.45632,1.08152,0.91388,0.91443,0.94907,0.75495,0.67313,0.35467,1.03277,0.001486,0.001486,0.001486
88,13872.5,0.7426,0.45434,1.08162,0.91162,0.91402,0.94754,0.75371,0.66923,0.35893,1.02733,0.001387,0.001387,0.001387
89,14014.2,0.72715,0.44809,1.07491,0.90101,0.91773,0.94759,0.75514,0.66907,0.356,1.02735,0.001288,0.001288,0.001288
90,14150.7,0.73496,0.44901,1.07999,0.92862,0.90569,0.94759,0.75655,0.66369,0.35594,1.02566,0.001189,0.001189,0.001189
91,14314.5,0.64565,0.33012,1.02943,0.93428,0.9044,0.94904,0.755,0.66869,0.35485,1.02722,0.00109,0.00109,0.00109
92,14456.7,0.62279,0.31698,1.01931,0.92093,0.91689,0.95023,0.7569,0.66665,0.35182,1.02298,0.000991,0.000991,0.000991
93,14599.3,0.61692,0.31068,1.00921,0.92301,0.90613,0.94682,0.75486,0.6654,0.35276,1.02227,0.000892,0.000892,0.000892
94,14741.8,0.61163,0.31005,1.0075,0.92852,0.90492,0.9497,0.75251,0.665,0.3571,1.02179,0.000793,0.000793,0.000793
95,14883.6,0.60027,0.30504,1.00393,0.92641,0.90665,0.94952,0.75362,0.66468,0.35619,1.02236,0.000694,0.000694,0.000694
96,15025.5,0.59182,0.29651,1.00028,0.92297,0.90955,0.95038,0.75514,0.66292,0.35537,1.02471,0.000595,0.000595,0.000595
97,15166.6,0.58895,0.29649,0.99135,0.91651,0.91633,0.95084,0.75756,0.66226,0.35595,1.02696,0.000496,0.000496,0.000496
98,15308.3,0.57951,0.29145,0.99202,0.92692,0.90579,0.95161,0.76024,0.66087,0.35628,1.02594,0.000397,0.000397,0.000397
99,15461.1,0.57079,0.28682,0.98647,0.9277,0.90532,0.9502,0.76134,0.65975,0.35667,1.02584,0.000298,0.000298,0.000298
100,15605.8,0.57103,0.28829,0.98588,0.93253,0.90177,0.94911,0.7624,0.65877,0.35648,1.02637,0.000199,0.000199,0.000199
